osm_id,name,amenity,brand,brand:wikidata,cash_in,charge,check_date,covered,currency:GBP,drive_through,fee,fixme,indoor,note,opening_hours,operator,operator:wikidata,geometry
312665264,,atm,,,,,,,,,,,,,,,,-0.1966062|51.651003
378856740,,atm,,,no,,2023-07-29,,,,,,no,,,Tesco,,-0.1303397|51.6480169
410936546,,atm,,,,,,,,,yes,,,,,,,-0.2158097|51.5573079
410949901,,atm,,,,,,,,,,,,,,,,-0.2147138|51.5561011
476746443,,atm,,,,,,,,,,,,,,HSBC,,-0.1887857|51.6469871
1107378869,,atm,,,,,,,,,,,,Was out of order when I visited.,,HSBC,,-0.2815908|51.6526528
1150114253,,atm,,,,,2023-11-23,,,,no,,,,,sainsbury's,,-0.1319091|51.56445
1324709956,,atm,,,,,,,,,Â£0.00,,,,,Tesco Finance,,-0.2427642|51.5963637
1581067081,,atm,,,,,,,,,no,,,,,Barclays Bank PLC,,-0.1498548|51.6510594
1630053074,,atm,,,,,,,,,no,,,,,Post Office,,-0.1499418|51.6511658
1676683488,,atm,,,,,,,,,no,,,,,,,-0.2429835|51.5957718
1798788055,,atm,,,,,2021-06-18,,,,no,,,,,Tesco,,-0.2011779|51.5741818
1979054925,,atm,,,,,2022-12-11,,,,,,,,,,,-0.30537|51.5628321
1993188845,,atm,,,,,,,,,,,,,,,,-0.2811603|51.5851519
1993188857,,atm,,,,,,,,,,,,,,,,-0.2794549|51.5850533
1993188864,,atm,,,,,,,,,no,,,,,Natwest,,-0.2805916|51.5845969
2094002526,,atm,,,,,,,,,,,,,,,,-0.1764232|51.5555739
2323758611,,atm,,,,,,,,,no,,,,,,,-0.1803809|51.6114657
2328776485,,atm,,,,,2021-03-07,,,,,,,,,post office,,-0.1429897|51.592215
2934909801,BP Garage,atm,,,,,2024-05-06,,,,,,,,,Bank Machine,,-0.1498517|51.6522517
3164946565,,atm,,,,,,,,,,"Check location relative to shop entrance, as well as network details.",,On outside wall of Costcutter.,,,,-0.2940969|51.5741982
3356871407,,atm,Sainsbury's Bank,,,,,,,,no,,,,,Sainsbury's Bank,,-0.1477875|51.6482193
3996006534,,atm,,,,,,,,,no,,,,24/7,Cash Zone,,-0.1494479|51.6505846
4347080421,,atm,,,,,,,,,,,,,,,,-0.2397496|51.5778594
4347080458,,atm,,,,,,,,,,,,,,,,-0.2405096|51.5785419
4480990850,,atm,,,no,,2024-01-08,,,,,,no,Combined ATM and cash machine,,Sainsbury's Bank,,-0.2507344|51.595309
4480990872,,atm,,,,,,,,,,,,,,,,-0.2477882|51.5963022
4480990885,,atm,Sainsbury's Bank,Q7400525,,,,,,,,,,,,Sainsbury's Bank,Q7400525,-0.2450553|51.5969977
4482995954,,atm,Post Office Money,,,,,,,,no,,,,,,,-0.2544282|51.5935694
4689738631,,atm,,,no,,2021-04-27,,,,no,,,,,Sainsbury's,,-0.142383|51.5750627
4691593766,,atm,,,,,,,,,no,,,,,,,-0.1405833|51.5731412
4947820430,,atm,,,,,2021-07-07,,,,,,,,,Santander,,-0.1436894|51.5903984
4947820431,,atm,,,,,2021-07-07,,,,,,,,,Santander,,-0.1437138|51.5903832
5064506296,,atm,,,,,2021-11-07,,,,,,,,,,,-0.188995|51.6092636
5087898556,,atm,,,,,,,yes,no,,,,,,Bank of Ireland UK,,-0.2016475|51.6538165
5156119264,,atm,,,,,,,,,no,,,,,,,-0.135211|51.5639036
5156175872,,atm,,,,,,,,,no,,,,,,,-0.1361905|51.5621734
6225137467,,atm,,,,,,,,,,,,,,,,-0.198037|51.5966148
6797442843,,atm,,,,,,,yes,no,,,,,,Barclays,,-0.303213|51.5873629
7006797139,,atm,,,no,,2024-04-05,,,,0.95,,,,,Cashzone,,-0.2772909|51.6549788
7052966280,,atm,Sainsbury's Bank,Q7400525,,,,,,,,,,,,Sainsbury's Bank,Q7400525,-0.230835|51.5824976
7052966281,,atm,,,,,,,,,,,,,,Royal Mail,,-0.2303227|51.5825643
7052966283,,atm,,,,,,,,,,,,,,Natwest,,-0.2273494|51.5824783
7052966284,,atm,,,,,,,,,,,,,,Natwest,,-0.2273161|51.5824642
7768143639,,atm,,,,,,,,,,,,,,,,-0.1644525|51.5908072
9044533148,,atm,,,,,,,,,,,,,,,,-0.1356761|51.6162988
9395164139,,atm,,,,,,,,,no,,,,24/7,,,-0.1587778|51.6132134
9399149579,,atm,,,,,,,,,,,,,24/7,,,-0.1593897|51.6127217
9399149591,,atm,,,no,,,,,,,,,,24/7,Cash Zone,,-0.1596448|51.6122366
9448291015,,atm,,,no,1.55 GBP,,,,,yes,,,,,Note Machine,,-0.1475263|51.5996277
9524366779,,atm,,,,,,,,no,,,,,,Sainsurys,,-0.138895|51.5559685
9537627922,,atm,,,,,,,,,,,,,24/7,Halifax,,-0.1422874|51.5913705
9573479759,,atm,,,,,,,,,no,,,,,Sainsbury's,,-0.145499|51.589817
9576551629,,atm,,,no,,,yes,,,no,,,,24/7,Cash Zone,,-0.1452993|51.5953325
9890502556,,atm,,,,,,,,,no,,,,,Nationwide,,-0.1427448|51.5909729
9920958590,,atm,,,,,,,,,no,,,,24/7,HSBC,,-0.143981|51.5899849
9920958591,,atm,,,,,,,,,no,,,,24/7,HSBC,,-0.1439897|51.5899717
10159908750,,atm,,,,1.05 GBP,,,,,yes,,,,,Notemachine,Q104368525,-0.2016978|51.6561033
10159965883,,atm,,,,1.25 GBP,,,,,yes,,,,,,,-0.2017587|51.6571931
10160111014,,atm,,,,,,,,,,,,,,,,-0.2018005|51.654721
10181085625,,atm,,,,1.99 GBP,,,,,yes,,,,,Cash Zone,,-0.1373358|51.5986021
10293742364,,atm,,,,,,,,,no,,,,24/7,,,-0.1769373|51.6141564
10748770815,,atm,Sainsbury's Bank,Q7400525,,,,,,,,,,,,Sainsbury's Bank,Q7400525,-0.1949847|51.5708085
11179013273,,atm,,,,,,,,,,,,,,,,-0.1347577|51.5662082
11293498475,,atm,,,,,2023-10-27,,,,,,,,,Cash Zone,,-0.1291564|51.6489908
11328378634,,atm,,,no,,2023-11-05,,,,,,,,,Nationwide,,-0.2753221|51.6156943
11328385977,,atm,,,no,,2023-11-05,,,,,,no,,,Tesco Bank,,-0.2750885|51.6162207
11329211490,,atm,,,no,,,,,,,,,,,Nationwide Building Society,,-0.2757878|51.6157928
11505841081,,atm,,,,,,,,,,,,,,,,-0.1369454|51.610606
11739120737,,atm,Santander,Q5835668,,,,,,,,,no,,,Santander,Q5835668,-0.2753756|51.6561458
11739120752,,atm,Santander,Q5835668,,,,,,,,,no,,,Santander,Q5835668,-0.2754323|51.6561201
