osm_id,name,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,brewery,check_date,cuisine,fhrs:id,food,payment:cash,payment:credit_cards,payment:debit_cards,phone,source,source:addr,source:addr:postcode,survey:date,toilets,toilets:wheelchair,website,wheelchair,geometry
25744530,The Boston Arms,,,,,,bar,,2023-05-25,,,no,no,yes,yes,,,,,,,,,no,-0.1384439|51.5571014
548866030,Rickshaw London,Wembley,GB,210,HA9 8PB,Preston Road,bar,,,,,,,,,+44 20 8385 2002,survey;Bing 2012,,FHRS Open Data,2014-12-23,yes,yes,,limited,-0.2946193|51.5709117
846591119,,,,,,,,,,,,,,,,,,,,,,,,,-0.1373181|51.5610972
846591189,,,,,,,,,,,,,,,,,,,,,,,,,-0.1373422|51.561049
846591200,,,,,,,,,,,,,,,,,,,,,,,,,-0.1371398|51.5610627
846591267,,,,,,,,,,,,,,,,,,,,,,,,,-0.1371639|51.5610145
1376881308,The Reks,,,,,,bar,,,,,,,,,,,,,,,,,,-0.2020638|51.6567743
1454248933,Luna Lounge,,,75,HA8 7DD,High Street,bar,,,,,,,,,,,,,,,,,,-0.279408|51.6104438
1993188868,,,,,,,bar,,,,,,,,,,,,,,,,,,-0.2794329|51.5847002
2328776526,,,,,,,,,,,,,,,,,,,,,,,,,-0.1433395|51.5928515
2328776528,,,,,,,,,,,,,,,,,,,,,,,,,-0.1433691|51.5929025
2328776529,,,,,,,,,,,,,,,,,,,,,,,,,-0.1431124|51.5929098
2328776531,,,,,,,,,,,,,,,,,,,,,,,,,-0.1432481|51.5929307
2328776533,,,,,,,,,,,,,,,,,,,,,,,,,-0.143143|51.592952
2517463831,Club 182,Wembley,GB,182-184,HA9 8PA,Preston Road,bar,,,indian,532452,,,,,+44 20 8908 6040,survey;Bing 2012,FHRS Open Data,,2013-08-17,,,http://www.club-182.com,,-0.2944576|51.5701438
2894456084,,,,,,,,,,,,,,,,,,,,,,,,,-0.3023444|51.5617768
2894456085,,,,,,,,,,,,,,,,,,,,,,,,,-0.301831|51.5618727
2894456086,,,,,,,,,,,,,,,,,,,,,,,,,-0.302475|51.5620443
2894456087,,,,,,,,,,,,,,,,,,,,,,,,,-0.301883|51.5621614
2994546902,,,,,,,,,,,,,,,,,,,,,,,,,-0.1935043|51.6016653
2994546904,,,,,,,,,,,,,,,,,,,,,,,,,-0.1936465|51.6016937
2994546905,,,,,,,,,,,,,,,,,,,,,,,,,-0.1934224|51.6017072
2994546906,,,,,,,,,,,,,,,,,,,,,,,,,-0.1935935|51.6017281
2994546907,,,,,,,,,,,,,,,,,,,,,,,,,-0.1937597|51.6017476
2994546909,,,,,,,,,,,,,,,,,,,,,,,,,-0.1936078|51.6018301
3012445338,Barnet Snooker Lounge,,,,,,bar,,,,,,,,,,,,,,,,,,-0.2019927|51.6549889
4691563242,Wine Artist,,,216,,Archway Road,bar,,,,,,,,,,,,,,,,https://wineartist.co.uk,,-0.1413868|51.5740275
4906774332,,,,,,,,,,,,,,,,,,,,,,,,,-0.140828|51.5730989
4906774333,,,,,,,,,,,,,,,,,,,,,,,,,-0.1409038|51.5730718
4906774338,,,,,,,,,,,,,,,,,,,,,,,,,-0.1409788|51.5731545
4906774341,,,,,,,,,,,,,,,,,,,,,,,,,-0.1409091|51.5731828
7037860916,,,,,,,,,,,,,,,,,,,,,,,,,-0.1936579|51.6016991
7931302526,JÃ¼rgen's Lounge,London,,40,NW9 9QJ,Rose Bates Drive,bar,Veltins,,,,,,,,,,,,,,,,,-0.2814679|51.5892949
10213894383,Red & Black,,,,,,bar,,,,,,,,,,,,,,,,,,-0.1756204|51.6128569
10213894393,Sea Rock,London,,672,N12 9PT,High Road,bar,,,,756905,,,,,,,,,,,,https://www.searockclub.com,,-0.175511|51.6125542
10651824736,Pink Salt,London,,828,N12 9RA,High Road,bar,,,,1456415,,,,,+44 20 3393 9399,,,,,,,https://www.pinksalt828.com,,-0.1765689|51.6173256
11328061988,Rara's Corner,,,,,,bar,,2023-11-05,,,,,,,,,,,,,,,,-0.2753226|51.6154485
11697381165,Upper Lounge Bar,,,,,,bar,,,,,,,,,,,,,,,,,,-0.2529697|51.6288363
