osm_id,barrier,geometry
26726484,,-0.2132848|51.6491401
26726485,,-0.2121325|51.6502777
211380966,,-0.2156094|51.6583884
259025581,,-0.2118183|51.6500998
265061647,,-0.1775757|51.606132
265061651,,-0.1764317|51.6069747
265061652,,-0.1764762|51.6074485
265061653,,-0.1771614|51.6074497
265061654,,-0.177578|51.6073494
265061655,,-0.1780942|51.6071762
265061656,,-0.1782797|51.6071113
265061657,,-0.1783151|51.6066613
265061755,,-0.1758518|51.606964
265061756,,-0.1757809|51.6052985
265061757,,-0.1758207|51.6052621
265061758,,-0.1757925|51.6044719
265061759,,-0.1756919|51.6041394
265061760,,-0.1781783|51.6037704
265061761,,-0.1782628|51.6039418
265061763,,-0.1782896|51.6044051
265061765,,-0.178303|51.6048348
265061769,,-0.1776816|51.6053702
268405963,,-0.2151905|51.6499543
576474083,,-0.1783272|51.6063378
576474086,,-0.1779657|51.6063392
582499389,,-0.2122862|51.6516833
582499390,,-0.2116508|51.6513157
582499391,,-0.2127188|51.6493086
582499426,,-0.2166321|51.6495996
585221869,,-0.2815678|51.5911803
588391623,,-0.2174691|51.6500583
588391625,,-0.2158243|51.6495162
588391626,,-0.2122191|51.6509141
588391628,,-0.2117729|51.6522633
588391630,,-0.2120147|51.6524646
588391631,,-0.2123121|51.6527148
588391632,,-0.2129263|51.6523885
588391633,,-0.2136598|51.6521064
606932281,,-0.3170985|51.6306537
606932290,,-0.3223879|51.6297347
606932298,,-0.3232247|51.6304473
606932307,,-0.3236968|51.6325983
606932325,,-0.3165621|51.6301609
606932333,,-0.3157467|51.6302874
606932339,,-0.314191|51.631646
606932343,,-0.3133864|51.6315661
606932347,,-0.3121847|51.6299478
606932368,,-0.3113908|51.6295748
606932381,,-0.3065814|51.6311215
606932386,,-0.3052377|51.6312301
606932394,,-0.3041437|51.6315395
606932400,,-0.3054256|51.6330778
606932405,,-0.3071851|51.6326183
606932407,,-0.307507|51.6327781
606932408,,-0.3081721|51.6336239
606932410,,-0.3079361|51.6338236
606932414,,-0.3083116|51.6339901
606932415,,-0.3089124|51.6340101
606932417,,-0.3099853|51.6335906
606932419,,-0.310629|51.6329446
606932422,,-0.311938|51.6329513
606932425,,-0.3137297|51.632232
606932427,,-0.3136653|51.6333242
606932429,,-0.3154999|51.6333508
606932432,,-0.3157038|51.6328181
606932435,,-0.3161651|51.6327648
606932437,,-0.3165943|51.6332909
606932440,,-0.3175277|51.6329579
606932442,,-0.3178066|51.6330045
606932496,,-0.3208894|51.634
606932499,,-0.3193307|51.632227
620787388,,-0.139304|51.5678194
620787389,,-0.1403463|51.5673186
620787477,,-0.1412354|51.5664349
620787478,,-0.138198|51.56719
620787479,,-0.1372915|51.566685
620787481,,-0.137778|51.5662461
620787483,,-0.1388979|51.5658447
620787485,,-0.14099|51.5654846
1076021503,,-0.2807716|51.590241
1076021504,,-0.2814871|51.5900584
1076021505,,-0.2825897|51.5898453
1076021506,,-0.28244|51.5908925
1203786098,,-0.2162203|51.6495055
1203805719,,-0.2147616|51.651822
1203997134,,-0.2116682|51.6506083
1598113033,,-0.2123766|51.651909
1598113035,,-0.2117369|51.6525285
1643709445,,-0.2120752|51.6525219
1643709448,,-0.2125884|51.6525632
1643709450,,-0.2134433|51.6521875
1687411889,,-0.1681863|51.6345701
1687411890,,-0.167992|51.6346049
1687411904,,-0.1677461|51.6345476
1687411910,,-0.1677699|51.6345768
1687411914,,-0.1679892|51.6345794
1687411926,,-0.1679154|51.6343433
1687411933,,-0.1677667|51.6345468
1687411934,,-0.1681892|51.6345967
1687411938,,-0.1680945|51.6343361
1687411940,,-0.1678691|51.6344074
1687411943,,-0.1682053|51.6345693
1687411946,,-0.1677553|51.6344436
1687411958,,-0.1681011|51.6343995
1687411964,,-0.1677584|51.6344732
1687411971,,-0.1678398|51.6345856
1687411972,,-0.1677383|51.634474
1687411979,,-0.1678724|51.6344388
1687411992,,-0.1678386|51.634574
1687412000,,-0.1679218|51.6344053
1687412002,,-0.1681916|51.6344439
1687412015,,-0.1681064|51.6344475
1760949244,,-0.2716443|51.6067701
1760949246,,-0.2727612|51.6048709
1760949249,,-0.2696099|51.6062877
1760949252,,-0.2725427|51.6047101
1760949254,,-0.2682583|51.6055925
1760949257,,-0.2685878|51.6054942
1760949264,,-0.270414|51.6083513
1760949266,,-0.2720955|51.6049553
1760949270,,-0.2734061|51.6059373
1760949273,,-0.2733386|51.6058443
1760949276,,-0.2737371|51.6056637
1778314882,,-0.1310425|51.6155086
1778314885,,-0.1311755|51.6155022
1778314887,,-0.1312471|51.6155089
1778314891,,-0.1309336|51.61539
1778314894,,-0.1310207|51.615585
1778314896,,-0.1309|51.6154889
1778314912,,-0.1311441|51.6155983
1778314914,,-0.1312646|51.6154291
1869207250,,-0.2154015|51.6515869
1869207254,,-0.2150656|51.6517586
1869207256,,-0.2140816|51.6519464
1977311978,,-0.277294|51.6115341
1977311979,,-0.2772455|51.6113055
1977311980,,-0.2774384|51.6113715
1977311981,,-0.2771011|51.611468
2090585279,,-0.2704476|51.6057161
2090585283,,-0.2690182|51.6064429
2090585285,,-0.2696764|51.6072947
2090585294,,-0.2701777|51.6058919
2090585407,,-0.2734064|51.6053446
2090585408,,-0.2722068|51.6071799
2090585409,,-0.2728336|51.6062079
2124187131,,-0.1782637|51.607045
2124187132,,-0.1782915|51.6069184
2124200642,,-0.1766811|51.6074473
2124200671,,-0.1783315|51.606482
2124200680,,-0.1782984|51.6068348
2124200701,,-0.1783068|51.6067316
2124205900,,-0.1765998|51.6040022
2124205901,,-0.1764295|51.6072906
2124205908,,-0.1764779|51.6073183
2124222128,,-0.178194|51.6048379
2124222156,,-0.1776757|51.6048528
2183807785,,-0.2442103|51.6156615
2183807792,,-0.2437562|51.6155887
2183807794,,-0.2440719|51.6156359
2183807797,,-0.244055|51.6156794
2183807799,,-0.2442626|51.6155268
2183807801,,-0.2440968|51.6156857
2183807803,,-0.2441119|51.6156467
2266237107,,-0.1413068|51.5669475
2266237142,,-0.140966|51.5670035
2266237183,,-0.1407454|51.5670806
2266237204,,-0.1389731|51.5671097
2266237216,,-0.138774|51.5671488
2266237219,,-0.1406057|51.5671504
2266237236,,-0.1391521|51.5672209
2266237238,,-0.1384855|51.5672202
2266237244,,-0.138381|51.5672811
2266237246,,-0.1405183|51.5672983
2266237284,,-0.1387371|51.5674974
2266237299,,-0.1397731|51.567594
2906465564,,-0.3175811|51.6329668
2907070783,,-0.3191199|51.6323345
3784041207,,-0.1383735|51.5659482
3784111102,,-0.1397352|51.5659117
4640237750,,-0.1775803|51.6059793
4659626141,,-0.1775792|51.6060164
4730348572,,-0.3063507|51.6311664
4730348573,,-0.3058706|51.6311797
4730349047,,-0.3057058|51.6330046
4730359563,,-0.3050735|51.6327081
4730359564,,-0.305124|51.6327133
4841400703,,-0.1416863|51.5674869
4841400704,,-0.143727|51.5669222
4841400705,,-0.1430618|51.5659856
4841400706,,-0.1414479|51.5664285
4943315441,,-0.2243528|51.5939599
4943315442,,-0.2243695|51.5935771
4943315443,,-0.2245632|51.5939471
4943315445,,-0.2239183|51.59369
4943315447,,-0.2240255|51.59351
4943315448,,-0.2249009|51.5939005
4943315450,,-0.2240577|51.5936966
4943315451,,-0.2247772|51.5935305
4943315452,,-0.2240148|51.5934733
4943315455,,-0.2243581|51.5934733
4943315457,,-0.2243367|51.5937333
4943315461,,-0.2240631|51.5937399
4987350704,,-0.1775976|51.6053928
5025295263,,-0.1566129|51.5765932
5025295264,,-0.157067|51.5763415
5025295265,,-0.1573218|51.5765191
5025295266,,-0.1570429|51.5766737
5025295267,,-0.1573133|51.5768621
5025295268,,-0.1571382|51.5769592
6311871847,,-0.3043843|51.6314412
6311871848,,-0.3046372|51.6313604
6311871849,,-0.3049272|51.6312854
6329133613,,-0.3046703|51.6321451
7098071662,,-0.2831561|51.5905928
7098324809,,-0.2823193|51.590895
8379013671,,-0.1573456|51.5767613
8379013672,,-0.1571739|51.5766417
8379013673,,-0.1571219|51.5766706
8379013674,,-0.1574963|51.5766778
8379013675,,-0.1572921|51.5765356
8379013676,,-0.1570894|51.5766479
8406306533,,-0.1783275|51.6063586
8596872123,,-0.2148709|51.6587031
8596872124,,-0.2152503|51.6585806
8596872125,,-0.2151968|51.658511
8596872126,,-0.2155423|51.6581979
8596872127,,-0.2154699|51.6581072
8596872128,,-0.2155758|51.6578984
8596872129,,-0.2153546|51.657603
8596872130,,-0.2148542|51.6575379
9268968733,,-0.2124635|51.6526412
9268968735,,-0.2117301|51.6520015
9268968738,,-0.2116515|51.6522927
9659697106,,-0.2727272|51.6077657
9659697108,,-0.27268|51.607798
9673580279,,-0.1388579|51.5674145
9673580286,,-0.1387444|51.5674911
9958172814,,-0.2169936|51.6504061
9958172815,,-0.2166739|51.6506433
9958183349,,-0.2129505|51.6491102
9958183350,,-0.2131929|51.649217
10844999618,,-0.2141891|51.6578301
10948977913,gate,-0.2145837|51.6583909
10948977919,,-0.2146116|51.6584204
10948977920,,-0.2144098|51.6582066
10948977921,,-0.2141576|51.6579541
10948977922,,-0.2141335|51.6578767
10948977923,,-0.2141503|51.6578543
11038406933,,-0.2438823|51.6153902
11038406934,,-0.2439105|51.615427
11038406935,,-0.2438932|51.6154715
11038406936,,-0.243906|51.6154058
11038406937,,-0.243836|51.6153833
